City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Babu,CN,2022-04-30 20:10:26,24.4167,111.5167,57.74,96,100,7.72
128,Mahebourg,MU,2022-04-30 20:10:26,-20.4081,57.7,74.25,77,31,10.51
129,Jilib,SO,2022-04-30 20:10:27,0.4883,42.7854,77.23,92,39,7.0
130,Caceres,ES,2022-04-30 20:10:27,39.522,-6.3748,68.72,49,63,7.85
131,Maldonado,UY,2022-04-30 20:10:27,-34.6667,-54.9167,57.22,65,84,3.96
132,Kenai,US,2022-04-30 20:06:08,60.5544,-151.2583,44.69,55,0,12.66
133,Hithadhoo,MV,2022-04-30 20:10:28,-0.6,73.0833,85.32,68,100,14.65
134,Tahta,EG,2022-04-30 20:10:28,26.7693,31.5021,83.66,16,0,10.67
135,Iqaluit,CA,2022-04-30 20:10:29,63.7506,-68.5145,25.7,73,100,8.01
136,Acapulco,MX,2022-04-30 20:00:17,16.8634,-99.8901,87.24,49,92,11.81
137,Champerico,GT,2022-04-30 20:11:29,14.3,-91.9167,86.59,62,71,9.35
138,Port Hedland,AU,2022-04-30 20:11:30,-20.3167,118.5667,73.45,64,75,6.91
139,Mayumba,GA,2022-04-30 20:11:30,-3.432,10.6554,78.04,90,100,4.76
140,Tilichiki,RU,2022-04-30 20:11:30,60.4667,166.1,26.91,89,45,7.23
141,Saint George,US,2022-04-30 20:07:47,37.1041,-113.5841,81.25,13,0,4.0
142,Yabelo,ET,2022-04-30 20:11:31,4.8833,38.0833,60.3,87,53,5.61
143,Jamestown,US,2022-04-30 20:11:31,42.097,-79.2353,64.06,21,0,6.91
144,Ust-Kuyga,RU,2022-04-30 20:11:32,70.0167,135.6,13.48,88,46,7.94
145,Krk,HR,2022-04-30 20:11:32,45.0258,14.5731,67.19,65,12,7.74
146,Lodja,CD,2022-04-30 20:11:32,-3.4833,23.4333,73.85,85,95,1.95
147,Mayo,US,2022-04-30 20:11:33,38.8876,-76.5119,72.21,32,0,6.91
148,Axim,GH,2022-04-30 20:11:33,4.8699,-2.2405,80.65,84,100,8.57
149,Fortuna,US,2022-04-30 20:11:34,40.5982,-124.1573,56.98,87,100,9.22
150,Iquique,CL,2022-04-30 20:11:34,-20.2208,-70.1431,66.24,72,10,6.69
151,Torquay,GB,2022-04-30 20:11:34,50.4638,-3.5143,51.71,73,100,3.0
152,Dubbo,AU,2022-04-30 20:08:38,-32.25,148.6167,42.93,81,6,8.05
153,Khatanga,RU,2022-04-30 20:11:35,71.9667,102.5,3.4,99,92,7.54
154,Turkistan,KZ,2022-04-30 20:11:35,43.0,68.0,74.37,23,8,7.2
155,Machali,CL,2022-04-30 20:11:36,-34.1833,-70.6667,69.08,35,0,6.91
156,Husavik,IS,2022-04-30 19:58:57,66.0449,-17.3389,50.7,56,100,7.11
157,Wanaka,NZ,2022-04-30 20:06:13,-44.7,169.15,53.33,89,100,8.3
158,Sabha,LY,2022-04-30 20:04:57,27.0377,14.4283,83.61,15,39,15.55
159,Itaituba,BR,2022-04-30 20:11:36,-4.2761,-55.9836,81.07,92,52,1.39
160,Nanortalik,GL,2022-04-30 20:11:37,60.1432,-45.2371,38.01,84,98,1.14
161,Tasiilaq,GL,2022-04-30 20:01:37,65.6145,-37.6368,41.16,63,10,0.56
162,Sasykoli,RU,2022-04-30 20:11:37,47.5515,46.9968,55.49,35,23,8.48
163,Luanda,AO,2022-04-30 20:11:38,-8.8368,13.2343,80.6,78,40,6.91
164,Peniche,PT,2022-04-30 20:11:38,39.3558,-9.3811,62.11,80,4,11.97
165,Panjab,AF,2022-04-30 20:11:38,34.388,67.0233,58.39,29,55,1.45
166,Qaqortoq,GL,2022-04-30 20:11:39,60.7167,-46.0333,41.13,74,40,2.37
167,Nuevo Progreso,MX,2022-04-30 20:11:39,23.1667,-97.95,90.54,63,15,11.01
168,Kulhudhuffushi,MV,2022-04-30 20:11:40,6.6221,73.07,85.08,73,100,10.09
169,Careiro Da Varzea,BR,2022-04-30 20:11:40,-3.2003,-59.8119,84.81,77,25,2.24
170,Faanui,PF,2022-04-30 20:11:40,-16.4833,-151.75,81.3,72,9,15.73
171,Carupano,VE,2022-04-30 20:11:41,10.6678,-63.2585,86.88,61,47,15.48
172,Sept-Iles,CA,2022-04-30 20:11:41,50.2001,-66.3821,46.06,60,90,4.0
173,Qaanaaq,GL,2022-04-30 20:11:42,77.484,-69.3632,16.54,76,89,4.25
174,Hovd,MN,2022-04-30 20:11:42,48.0056,91.6419,50.49,26,97,7.94
175,Chitral,PK,2022-04-30 20:11:42,35.8462,71.7858,67.51,40,0,4.18
176,Mitchell,US,2022-04-30 20:11:43,43.7094,-98.0298,44.74,92,100,29.93
177,Camocim,BR,2022-04-30 20:11:43,-2.9022,-40.8411,80.01,87,41,6.6
178,Longyearbyen,SJ,2022-04-30 20:11:44,78.2186,15.6401,12.04,62,0,2.3
179,Gat,IL,2022-04-30 20:11:44,31.61,34.7642,66.4,100,0,9.51
180,Boddam,GB,2022-04-30 20:11:44,57.4667,-1.7833,46.78,94,100,17.69
181,Victoria,HK,2022-04-30 20:08:59,22.2855,114.1577,77.32,85,100,15.01
182,Del Rio,US,2022-04-30 20:12:45,29.3627,-100.8968,89.71,49,0,10.36
183,Narsaq,GL,2022-04-30 20:12:45,60.9167,-46.05,55.62,60,20,2.59
184,Standerton,ZA,2022-04-30 20:12:46,-26.9337,29.2415,52.61,40,0,4.99
185,Parana,AR,2022-04-30 20:12:46,-31.732,-60.5238,62.55,61,75,8.05
186,Kjopsvik,NO,2022-04-30 20:12:47,68.097,16.3742,37.17,84,100,4.05
187,Flinders,AU,2022-04-30 20:06:04,-34.5833,150.8552,55.38,78,0,4.0
188,Shache,CN,2022-04-30 20:02:50,38.4167,77.2406,66.7,17,100,4.9
189,Naze,JP,2022-04-30 20:12:47,28.3667,129.4833,63.3,75,100,12.93
190,Lazaro Cardenas,MX,2022-04-30 20:02:48,17.9583,-102.2,83.8,52,38,10.25
191,Orlik,RU,2022-04-30 20:06:04,52.5178,99.825,36.37,74,40,2.17
192,Airai,TL,2022-04-30 20:12:48,-8.9266,125.4092,59.67,84,87,3.02
193,Hamilton,US,2022-04-30 20:11:36,39.1834,-84.5333,72.59,73,0,12.66
194,Coquimbo,CL,2022-04-30 20:12:48,-29.9533,-71.3436,58.73,77,0,10.36
195,Diego De Almagro,CL,2022-04-30 20:12:49,-26.3667,-70.05,76.91,24,0,10.89
196,Narrabri,AU,2022-04-30 20:12:49,-30.3167,149.7833,52.52,93,100,9.22
197,Caravelas,BR,2022-04-30 20:12:49,-17.7125,-39.2481,76.86,74,2,4.72
198,Aksu,CN,2022-04-30 20:12:50,41.1231,80.2644,62.15,19,100,5.37
199,Muros,ES,2022-04-30 20:12:50,42.7762,-9.0603,61.09,92,1,2.21
