City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Sibu,MY,86.45,broken clouds,2.3,111.8167,
198,Faanui,PF,81.05,overcast clouds,-16.4833,-151.75,
202,Santa Isabel Do Rio Negro,BR,73.11,few clouds,-0.4139,-65.0192,
204,Sorong,ID,84.72,scattered clouds,-0.8833,131.25,
205,San Jose,US,65.28,clear sky,37.3394,-121.895,
206,Mapua,NZ,65.43,overcast clouds,-41.25,173.1,
207,Sinnar,SD,87.37,broken clouds,13.5691,33.5672,
208,Fairhope,US,74.68,clear sky,30.523,-87.9033,
211,Aquin,HT,76.37,overcast clouds,18.2833,-73.4,
212,Mahebourg,MU,74.25,clear sky,-20.4081,57.7,
213,Panaba,MX,74.98,clear sky,21.2833,-88.2667,
215,Riyadh,SA,75.34,clear sky,24.6877,46.7219,
216,Muncar,ID,86.43,overcast clouds,-8.4333,114.3333,
217,Port-Gentil,GA,80.8,light rain,-0.7193,8.7815,
218,Sao Joao Da Barra,BR,74.07,clear sky,-21.6403,-41.0511,
219,Bilma,NE,87.91,clear sky,18.6853,12.9164,
222,Bandarbeyla,SO,82.99,scattered clouds,9.4942,50.8122,
223,Nicolas Bravo,MX,74.3,clear sky,18.45,-88.9167,
226,Korla,CN,67.06,clear sky,41.7597,86.1469,
232,Houston,US,78.35,overcast clouds,29.7633,-95.3633,
233,Jacareacanga,BR,73.76,few clouds,-6.2222,-57.7528,
235,Warri,NG,75.4,overcast clouds,5.5167,5.75,
237,Shingu,JP,65.37,overcast clouds,33.7333,135.9833,
238,Ahuimanu,US,80.31,moderate rain,21.4447,-157.8378,
242,Ahipara,NZ,68.04,overcast clouds,-35.1667,173.1667,
244,Bosaso,SO,85.28,clear sky,11.2842,49.1816,
246,Nioro,GM,78.19,scattered clouds,13.35,-15.75,
249,Kashi,CN,67.21,overcast clouds,39.4547,75.9797,
250,Victoria,HK,67.32,overcast clouds,22.2855,114.1577,
251,Nouakchott,MR,67.1,clear sky,18.0858,-15.9785,
252,Corrales,US,75.04,clear sky,35.2378,-106.6067,
254,Aragarcas,BR,70.02,broken clouds,-15.8975,-52.2508,
256,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,
260,Atambua,ID,86.16,overcast clouds,-9.1061,124.8925,
265,Zhumadian,CN,76.05,clear sky,32.9794,114.0294,
266,Pangai,TO,81.73,overcast clouds,-19.8,-174.35,
269,Hobart,AU,69.26,broken clouds,-42.8794,147.3294,
271,Beppu,JP,69.48,broken clouds,33.2736,131.4919,
