City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Nanortalik,GL,60.1432,-45.2371,36.43,85,100,2.04,overcast clouds
106,Thompson,CA,55.7435,-97.8558,22.84,93,100,9.53,overcast clouds
107,Sambava,MG,-14.2667,50.1667,77.05,85,51,8.46,light rain
108,Kodiak,US,57.79,-152.4072,45.91,66,75,6.91,broken clouds
109,Pevek,RU,69.7008,170.3133,21.97,73,100,8.19,overcast clouds
110,Castro,BR,-24.7911,-50.0119,60.3,91,68,1.77,broken clouds
111,Sumbe,AO,-11.2061,13.8437,75.13,89,63,5.46,broken clouds
112,Khatanga,RU,71.9667,102.5,23.22,83,99,14.85,overcast clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,75.18,62,14,8.01,few clouds
114,Homer,US,59.6425,-151.5483,44.49,70,100,14.97,overcast clouds
115,Dunedin,NZ,-45.8742,170.5036,63.09,61,7,3.98,clear sky
116,Yellowknife,CA,62.456,-114.3525,36.41,69,7,8.61,clear sky
117,Hasaki,JP,35.7333,140.8333,63.0,53,100,9.15,overcast clouds
118,Port Maria,JM,18.3685,-76.8895,80.02,86,100,10.16,overcast clouds
119,Esmeraldas,BR,-19.7625,-44.3139,61.66,58,0,2.66,clear sky
120,Raton,US,36.9034,-104.4391,59.34,19,0,6.91,clear sky
121,Aklavik,CA,68.2191,-135.0107,35.96,93,100,12.21,overcast clouds
122,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,6.91,clear sky
123,Rio Grande,BR,-32.035,-52.0986,49.95,74,21,10.11,few clouds
124,Bethel,US,41.3712,-73.414,57.29,52,75,3.44,broken clouds
125,Broome,US,42.2506,-75.833,56.14,74,100,9.22,overcast clouds
126,Yilan,TW,24.757,121.753,66.02,93,100,4.83,overcast clouds
127,Richards Bay,ZA,-28.783,32.0377,60.44,82,5,6.8,clear sky
128,Kamiiso,JP,41.8167,140.65,53.98,62,75,17.27,broken clouds
129,Carnarvon,AU,-24.8667,113.6333,87.87,27,1,11.5,clear sky
130,Springbok,ZA,-29.6643,17.8865,57.69,23,0,10.63,clear sky
131,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.37,84,62,2.01,broken clouds
132,Kruisfontein,ZA,-34.0033,24.7314,51.49,87,0,4.14,clear sky
133,Souillac,MU,-20.5167,57.5167,74.43,87,1,4.9,clear sky
